time,latitude,longitude,depth,mag,wilayah
2008-11-01 00:31:25.143741+00:00,-0.60443985,98.895531,20,2.989742,"Southern Sumatra, Indonesia"
2008-11-01 01:34:29.660856+00:00,-6.6118598,129.38722,30,5.5075487,Banda Sea
2008-11-01 01:38:14.802129+00:00,-3.6505861,127.99068,5,3.5396736,"Seram, Indonesia"
2008-11-01 02:20:05.909515+00:00,-4.1989245,128.097,5,2.4243136,Banda Sea
2008-11-01 02:32:18.756155+00:00,-4.0918913,128.20047,10,2.4100449,Banda Sea
2008-11-01 03:24:09.020131+00:00,-3.7551935,127.38228,10,2.9388789,"Seram, Indonesia"
2008-11-01 03:34:47.510883+00:00,-3.8894784,128.24319,10,2.2189636,"Seram, Indonesia"
2008-11-01 04:26:50.151996+00:00,0.48677173,98.328484,16,3.8534235,"Northern Sumatra, Indonesia"
2008-11-01 06:01:05.398042+00:00,-4.2642436,127.66187,10,3.2434508,Banda Sea
2008-11-01 06:23:00.287751+00:00,-3.4326537,128.3886,10,2.3174667,"Seram, Indonesia"
2008-11-01 06:42:18.915389+00:00,-3.9420478,127.44745,9,2.5942848,"Seram, Indonesia"
2008-11-01 06:50:52.220091+00:00,-4.4302621,127.44743,10,3.1500512,Banda Sea
2008-11-01 09:50:32.503651+00:00,-3.3223574,128.0153,10,2.2961772,"Seram, Indonesia"
2008-11-01 10:23:51.646852+00:00,-7.0695295,129.66982,135,4.772793,Banda Sea
2008-11-01 13:04:38.742915+00:00,0.10376831,98.546005,12,4.6574509,"Northern Sumatra, Indonesia"
2008-11-01 14:47:00.029426+00:00,-7.3654618,105.30633,18,3.2990905,"Java, Indonesia"
2008-11-01 16:20:37.327373+00:00,-6.4086237,129.53871,70,4.3360107,Banda Sea
2008-11-01 16:24:14.755475+00:00,-3.2957959,127.84643,10,3.1800367,"Seram, Indonesia"
2008-11-01 17:43:12.941930+00:00,-7.013823,106.62595,121,3.6846869,"Java, Indonesia"
2008-11-01 20:58:50.248986+00:00,-6.5513372,129.64,10,4.5753555,Banda Sea
2008-11-01 21:02:43.058223+00:00,-9.1808414,119.06116,10,4.9246252,"Sumba Region, Indonesia"
2008-11-02 00:10:37.651412+00:00,3.9594514,126.71422,306,4.3729518,"Talaud Islands, Indonesia"
2008-11-02 06:06:45.283981+00:00,1.5992653,123.57816,111,4.083185,"Minahassa Peninsula, Sulawesi"
2008-11-02 06:14:15.323865+00:00,-4.952435,103.52953,18,2.8161124,"Southern Sumatra, Indonesia"
2008-11-02 09:32:00.183849+00:00,-6.0246997,103.68754,12,4.5386735,"Southwest of Sumatra, Indonesia"
2008-11-02 10:25:11.712516+00:00,-9.1145401,112.09865,39,3.0691461,"South of Java, Indonesia"
2008-11-02 21:59:16.852637+00:00,3.0567808,121.83095,588,4.4328535,Celebes Sea
2008-11-03 02:46:14.145221+00:00,-3.1690371,118.79817,9,2.8106232,"Sulawesi, Indonesia"
2008-11-03 03:18:12.920247+00:00,-2.6275647,127.77614,21,2.8865732,Ceram Sea
2008-11-03 07:42:58.943421+00:00,-8.9096766,117.30831,131,4.2500947,"Sumbawa Region, Indonesia"
2008-11-03 08:17:07.958593+00:00,0.27074623,120.60384,37,4.4432334,"Minahassa Peninsula, Sulawesi"
2008-11-03 09:48:45.118744+00:00,-8.6375799,112.27896,101,3.1656354,"Java, Indonesia"
2008-11-03 10:21:52.727686+00:00,-3.260181,126.29007,43,3.5943471,"Buru, Indonesia"
2008-11-03 10:38:02.800757+00:00,-7.958087,117.732,5,4.0684439,Bali Sea
2008-11-03 16:56:17.275054+00:00,-7.7188463,113.75344,6,2.5635174,"Java, Indonesia"
2008-11-03 19:22:03.486429+00:00,1.1020942,97.340324,39,5.4735323,"Northern Sumatra, Indonesia"
2008-11-03 19:36:35.242015+00:00,-6.315393,128.83061,223,4.038714,Banda Sea
2008-11-03 19:37:18.020484+00:00,-5.9698324,103.95901,12,3.777004,"Southern Sumatra, Indonesia"
2008-11-03 19:57:54.571326+00:00,1.5327252,97.436081,27,4.2320457,"Northern Sumatra, Indonesia"
2008-11-03 20:20:28.118837+00:00,1.6179022,97.609711,27,4.1366778,"Northern Sumatra, Indonesia"
2008-11-03 20:35:50.855883+00:00,1.3042829,97.047951,53,4.2813123,"Northern Sumatra, Indonesia"
2008-11-03 21:36:28.295258+00:00,-0.77634197,127.07497,53,4.922744,"Halmahera, Indonesia"
2008-11-03 22:28:41.248719+00:00,0.44560918,126.04127,97,4.1646337,Northern Molucca Sea
2008-11-03 23:49:18.686641+00:00,1.9673783,97.464478,30,4.2515517,"Northern Sumatra, Indonesia"
2008-11-04 00:48:24.081198+00:00,-4.8043203,102.84812,84,3.1216234,"Southern Sumatra, Indonesia"
2008-11-04 02:36:28.056167+00:00,-4.2441759,129.60023,53,2.6521251,Banda Sea
2008-11-04 02:51:41.961779+00:00,-3.7671461,102.00196,7,4.8157669,"Southern Sumatra, Indonesia"
2008-11-04 11:01:07.238618+00:00,-3.7463861,128.21457,10,2.1699437,"Seram, Indonesia"
2008-11-04 11:07:20.163418+00:00,-2.265933,128.93968,50,3.191748,Ceram Sea
2008-11-04 12:17:26.272257+00:00,-4.383862,130.55759,22,3.1745857,Banda Sea
2008-11-04 16:28:41.405316+00:00,-2.2230389,128.55956,111,3.2068372,Ceram Sea
2008-11-04 20:48:54.011920+00:00,-5.8502584,103.64214,30,4.572056,"Southern Sumatra, Indonesia"
2008-11-04 22:59:47.006221+00:00,-3.1040051,122.83571,259,3.7238691,"Sulawesi, Indonesia"
2008-11-05 03:01:31.823886+00:00,1.1434216,127.84606,91,4.0002297,"Halmahera, Indonesia"
2008-11-05 06:25:37.505675+00:00,-2.7164483,130.76332,20,3.9225046,"Seram, Indonesia"
2008-11-05 11:31:48.460971+00:00,-8.4588528,107.92173,26,4.0667802,"Java, Indonesia"
2008-11-05 16:49:53.797536+00:00,-2.081969,127.8928,45,3.2432415,Ceram Sea
2008-11-05 17:11:26.729709+00:00,-9.0825472,112.28486,35,3.9032777,"South of Java, Indonesia"
2008-11-05 19:21:33.912488+00:00,-0.081846125,124.66296,16,4.1610601,Southern Molucca Sea
2008-11-06 03:05:24.867210+00:00,-2.5376825,119.8923,20,2.9374734,"Sulawesi, Indonesia"
2008-11-06 04:11:18.919434+00:00,-2.2484987,118.1284,30,3.9534792,"Sulawesi, Indonesia"
2008-11-06 11:16:57.312530+00:00,0.80702031,98.821701,10,4.1266229,"Northern Sumatra, Indonesia"
2008-11-06 16:14:34.453567+00:00,1.1052499,121.11413,20,3.906164,"Minahassa Peninsula, Sulawesi"
2008-11-06 18:37:12.230749+00:00,-2.3698919,99.819092,58,5.0197154,"Southern Sumatra, Indonesia"
2008-11-07 01:14:15.212876+00:00,-5.0039482,121.28471,26,2.5793696,"Sulawesi, Indonesia"
2008-11-07 06:17:05.822410+00:00,-4.0413604,128.63937,14,3.816323,Banda Sea
2008-11-07 07:39:38.593930+00:00,4.6127763,126.08372,146,4.8849175,"Talaud Islands, Indonesia"
2008-11-07 09:18:10.776529+00:00,-7.2434163,127.96942,30,4.9952384,Banda Sea
2008-11-07 10:35:46.657395+00:00,-1.9674588,121.35984,10,4.5916886,"Sulawesi, Indonesia"
2008-11-07 11:32:44.802865+00:00,-5.1530385,128.73297,270,3.3603765,Banda Sea
2008-11-07 11:36:16.892121+00:00,-3.5266256,128.26842,10,2.1455407,"Seram, Indonesia"
2008-11-07 12:50:51.090538+00:00,-7.0578322,105.76391,32,3.6291189,"Java, Indonesia"
2008-11-07 16:04:27.451560+00:00,-6.7637,129.36919,39,6.2467558,Banda Sea
2008-11-07 16:47:04.360195+00:00,-6.6238832,129.77541,103,4.6945905,Banda Sea
2008-11-07 17:45:55.636392+00:00,-6.8203392,129.88158,127,4.4557292,Banda Sea
2008-11-07 18:19:51.100411+00:00,-8.3697233,107.00577,15,4.2649442,"Java, Indonesia"
2008-11-07 20:57:21.143222+00:00,-6.6745939,103.29979,30,3.558812,"Southwest of Sumatra, Indonesia"
2008-11-07 22:36:12.700252+00:00,-3.5082617,128.30817,54,2.3965058,"Seram, Indonesia"
2008-11-07 22:36:26.841863+00:00,3.598536,97.192276,142,3.4270603,"Northern Sumatra, Indonesia"
2008-11-08 04:00:18.077846+00:00,0.31944028,105.29218,292,5.2975034,South China Sea
2008-11-08 05:11:10.158939+00:00,-5.5509791,102.69524,29,3.5491742,"Southern Sumatra, Indonesia"
2008-11-08 05:55:46.779422+00:00,-7.5145326,108.81216,146,4.7712318,"Java, Indonesia"
2008-11-08 11:24:33.197233+00:00,-8.1630583,118.78372,8,3.8800492,"Sumbawa Region, Indonesia"
2008-11-08 16:42:50.450195+00:00,-6.010025,129.10703,10,3.620947,Banda Sea
2008-11-08 17:24:00.021700+00:00,-3.6051342,128.99742,76,3.3178764,"Seram, Indonesia"
2008-11-08 20:55:42.858619+00:00,-6.2145696,129.26141,23,4.7772684,Banda Sea
2008-11-08 21:34:17.874560+00:00,-1.0232671,100.06579,10,3.6641625,"Southern Sumatra, Indonesia"
2008-11-08 23:57:30.450589+00:00,-6.0197573,106.15031,94,3.6036876,"Java, Indonesia"
2008-11-09 06:51:58.740737+00:00,0.52794522,129.25424,22,3.6124425,"Halmahera, Indonesia"
2008-11-09 09:37:51.330903+00:00,-0.88010293,123.67754,39,3.6562584,"Minahassa Peninsula, Sulawesi"
2008-11-09 10:38:53.054746+00:00,-7.4461241,129.61159,96,5.4046466,Banda Sea
2008-11-09 15:10:11.498862+00:00,-3.7162232,127.78545,0,2.3253051,"Seram, Indonesia"
2008-11-09 15:23:00.291503+00:00,-3.5001531,118.72283,4,2.5008379,"Sulawesi, Indonesia"
2008-11-09 17:59:07.691077+00:00,1.1267797,97.028923,9,4.7739444,"Northern Sumatra, Indonesia"
2008-11-10 00:38:48.101261+00:00,-7.4244847,129.02293,105,4.7802978,Banda Sea
2008-11-10 05:59:04.136349+00:00,-3.1661372,103.89532,33,3.2174742,"Southern Sumatra, Indonesia"
2008-11-10 06:29:32.561365+00:00,-5.04146,103.04691,25,4.16432,"Southern Sumatra, Indonesia"
2008-11-10 07:59:48.643455+00:00,-7.247869,121.00311,650,4.5363418,Flores Sea
2008-11-10 08:36:28.709932+00:00,-1.5663428,139.2872,30,5.0634031,Near North Coast of Irian Jaya
2008-11-10 08:58:49.154464+00:00,-0.4491584,99.819893,119,5.3083919,"Southern Sumatra, Indonesia"
2008-11-10 10:48:08.327049+00:00,-0.71825731,123.29746,20,3.9574171,"Minahassa Peninsula, Sulawesi"
2008-11-10 11:29:47.275698+00:00,-1.9475509,122.94101,128,3.6301942,"Sulawesi, Indonesia"
2008-11-10 11:43:19.606112+00:00,-8.1485138,117.83124,41,4.3543396,"Sumbawa Region, Indonesia"
