Lat_Grid,Lon_Grid,Kode_Klaster,Status_Area
-11.8,113.4,2,BAHAYA (Merah)
-11.0,95.4,1,WASPADA (Kuning)
-11.0,108.1,1,WASPADA (Kuning)
-11.0,110.0,2,BAHAYA (Merah)
-11.0,111.7,2,BAHAYA (Merah)
-11.0,112.3,2,BAHAYA (Merah)
-11.0,112.4,1,WASPADA (Kuning)
-11.0,112.6,2,BAHAYA (Merah)
-11.0,112.7,2,BAHAYA (Merah)
-11.0,113.2,1,WASPADA (Kuning)
-11.0,113.3,1,WASPADA (Kuning)
-11.0,113.4,1,WASPADA (Kuning)
-11.0,113.5,1,WASPADA (Kuning)
-11.0,113.7,2,BAHAYA (Merah)
-11.0,113.8,1,WASPADA (Kuning)
-11.0,113.9,1,WASPADA (Kuning)
-11.0,114.0,1,WASPADA (Kuning)
-11.0,114.5,2,BAHAYA (Merah)
-11.0,114.6,0,AMAN (Hijau)
-11.0,115.3,1,WASPADA (Kuning)
-11.0,115.5,2,BAHAYA (Merah)
-11.0,117.9,1,WASPADA (Kuning)
-11.0,118.2,1,WASPADA (Kuning)
-11.0,118.6,1,WASPADA (Kuning)
-11.0,119.5,2,BAHAYA (Merah)
-11.0,124.0,1,WASPADA (Kuning)
-10.9,107.4,2,BAHAYA (Merah)
-10.9,107.5,1,WASPADA (Kuning)
-10.9,110.0,1,WASPADA (Kuning)
-10.9,110.4,2,BAHAYA (Merah)
-10.9,110.6,1,WASPADA (Kuning)
-10.9,111.0,1,WASPADA (Kuning)
-10.9,111.2,1,WASPADA (Kuning)
-10.9,111.7,1,WASPADA (Kuning)
-10.9,112.1,1,WASPADA (Kuning)
-10.9,112.3,2,BAHAYA (Merah)
-10.9,112.4,1,WASPADA (Kuning)
-10.9,112.5,2,BAHAYA (Merah)
-10.9,112.8,2,BAHAYA (Merah)
-10.9,112.9,2,BAHAYA (Merah)
-10.9,113.0,1,WASPADA (Kuning)
-10.9,113.2,1,WASPADA (Kuning)
-10.9,113.3,1,WASPADA (Kuning)
-10.9,113.4,1,WASPADA (Kuning)
-10.9,113.5,2,BAHAYA (Merah)
-10.9,113.6,1,WASPADA (Kuning)
-10.9,113.7,1,WASPADA (Kuning)
-10.9,113.8,1,WASPADA (Kuning)
-10.9,113.9,1,WASPADA (Kuning)
-10.9,114.0,2,BAHAYA (Merah)
-10.9,114.4,1,WASPADA (Kuning)
-10.9,114.8,1,WASPADA (Kuning)
-10.9,115.0,1,WASPADA (Kuning)
-10.9,115.1,1,WASPADA (Kuning)
-10.9,115.5,1,WASPADA (Kuning)
-10.9,116.2,2,BAHAYA (Merah)
-10.9,116.3,1,WASPADA (Kuning)
-10.9,116.7,1,WASPADA (Kuning)
-10.9,117.0,2,BAHAYA (Merah)
-10.9,117.2,1,WASPADA (Kuning)
-10.9,118.4,1,WASPADA (Kuning)
-10.9,118.5,2,BAHAYA (Merah)
-10.9,118.6,1,WASPADA (Kuning)
-10.9,119.0,1,WASPADA (Kuning)
-10.9,119.8,1,WASPADA (Kuning)
