datetime,latitude,longitude,magnitude,depth,dirasakan,wilayah
2026-06-16 03:27:44+00:00,-1.04,120.23,6.7,10.0,"VI-VII Palu, V-VI Sigi, III Polewali Mandar, III Mamasa, III Mamuju, II-III Pinrang, II-III Pare-pare, II-III Pohuwato, II-III Boalemo, III Pasangkayu, II Wajo, II-III Gorontalo Utara, II-III Majene, II-III Kab. Gorontalo, II-III Kota Gorontalo, II-III Luwu Utara, II-III Balikpapan, II-III Samarinda, II-III Pulau Laut - Kotabaru",Pusat gempa berada di darat 42 km tenggara Palu
2026-06-16 03:32:16+00:00,-1.13,120.04,4.6,5.0,"III-IV Sigi, II-III Palu",Pusat gempa berada di darat 33 km timur laut Sigi
2026-06-16 03:35:12+00:00,-1.2,120.11,4.1,5.0,"III Sigi, II Palu",Pusat gempa berada di darat 33 km timur laut Sigi
2026-06-16 03:38:36+00:00,-1.17,120.23,4.5,10.0,"III-IV Sigi, II-III Palu",Pusat gempa berada di darat 45 km timur laut Sigi
2026-06-16 03:41:32+00:00,-1.17,120.08,4.0,4.0,"III Sigi, II Palu",Pusat gempa berada di darat 32 km timur laut Sigi
2026-06-16 03:48:05+00:00,-1.18,120.11,3.8,14.0,"III Sigi, II Palu",Pusat gempa berada di darat 34 km timur laut Sigi
2026-06-16 05:07:05+00:00,-1.07,120.06,3.9,10.0,II-III Sigi,Pusat gempa berada di darat 40 km timur laut Sigi
2026-06-16 05:14:13+00:00,1.28,126.45,4.1,10.0,II-III Batang Dua,Pusat gempa berada di laut 116 km barat Jailolo
2026-06-16 07:49:01+00:00,4.76,96.79,2.0,4.0,II Bener Meriah,Pusat gempa berada di darat 8 km barat laut Kab. Bener Meriah
2026-06-16 08:04:42+00:00,-1.06,120.18,4.7,9.0,"III-IV Sigi, III Palu",Pusat gempa berada di darat 49 km timur laut Sigi
2026-06-16 10:23:51+00:00,0.53,126.59,4.0,22.0,"II-III Kota Ternate, II-III Batang Dua",Pusat gempa berada di laut 90 km barat Ternate
2026-06-16 11:03:51+00:00,-1.29,120.31,4.7,3.0,"III-IV Sigi, III-IV Palu",Pusat gempa berada di darat 48 km timur Sigi
2026-06-16 18:29:38+00:00,-1.1400000000000001,120.33,5.1,5.0,"III-IV Palu, III-IV Sigi",Pusat gempa berada di darat 54 km barat laut Poso
2026-06-17 01:08:01+00:00,-9.66,119.47,3.6,14.0,"IV Sumba Barat, II-III Sumba Barat Daya",Pusat gempa berada di darat 8 km timur Waikabubak
2026-06-17 03:44:16+00:00,-9.57,119.44,5.0,10.0,"III Sumba Barat Daya, III Sumba Timur, III-IV Sumba Barat",Pusat gempa berada di darat 10 km timur laut Waikabubak
2026-06-17 09:44:47+00:00,5.18,94.84,3.9,19.0,"II-III Aceh Jaya, II Banda Aceh",Pusat gempa berada di laut 85 km barat Jantho
2026-06-18 03:25:54+00:00,-1.21,120.19,3.0,5.0,II Sigi,Pusat gempa berada di darat 40 km Timur laut Sigi
2026-06-18 04:46:28+00:00,-1.1400000000000001,120.14,2.3,5.0,II Sigi,Pusat gempa berada di darat 40 km Timur Laut Sigi
